Gospel	Marker ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Pertinence GRC	Pertinence LA	Implicit GRC	Implicit LA	Synoptic
 john	jh03_04b	b.JOH.3.4	δύναμαι	possum	Λέγει πρὸς αὐτὸν ὁ Νικόδημος· πῶς δύναται ἄνθρωπος γεννηθῆναι γέρων ὤν ; μὴ δύναται εἰς τὴν κοιλίαν τῆς μητρὸς αὐτοῦ δεύτερον εἰσελθεῖν καὶ γεννηθῆναι ;	dicit ad eum Nicodemus quomodo potest homo nasci cum senex sit numquid potest in ventrem matris suae iterato introire et nasci	true	true	false	false	 
 john	jh03_05	b.JOH.3.5	δύναμαι	possum	ἀπεκρίθη Ἰησοῦς· ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἐξ ὕδατος καὶ πνεύματος, οὐ δύναται εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ θεοῦ .	respondit Iesus amen amen dico tibi nisi quis renatus fuerit ex aqua et Spiritu non potest introire in regnum Dei	true	true	false	false	 
 john	jh03_07	b.JOH.3.7	δεῖ	oportet	μὴ θαυμάσῃς ὅτι εἶπόν σοι· δεῖ ὑμᾶς γεννηθῆναι ἄνωθεν .	non mireris quia dixi tibi oportet vos nasci denuo	true	true	false	false	 
 john	jh03_08	b.JOH.3.8	θέλω	volo	τὸ πνεῦμα ὅπου θέλει { πνεῖν } πνεῖ καὶ τὴν φωνὴν αὐτοῦ ἀκούεις, ἀλλ’ οὐκ οἶδας πόθεν ἔρχεται καὶ ποῦ ὑπάγει· οὕτως ἐστὶν πᾶς ὁ γεγεννημένος ἐκ τοῦ πνεύματος.	Spiritus ubi vult { spirare } spirat et vocem eius audis sed non scis unde veniat et quo vadat sic est omnis qui natus est ex Spiritu	true	true	false	false	 
 john	jh03_09	b.JOH.3.9	δύναμαι	possum	Ἀπεκρίθη Νικόδημος καὶ εἶπεν αὐτῷ· πῶς δύναται ταῦτα γενέσθαι ;	respondit Nicodemus et dixit ei quomodo possunt haec fieri	true	true	false	false	 
 john	jh03_14	b.JOH.3.14	δεῖ	oportet	Καὶ καθὼς Μωϋσῆς ὕψωσεν τὸν ὄφιν ἐν τῇ ἐρήμῳ, οὕτως ὑψωθῆναι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου ,	et sicut Moses exaltavit serpentem in deserto ita exaltari oportet Filium hominis	true	true	false	false	 
 john	jh03_27	b.JOH.3.27	δύναμαι	possum	Ἀπεκρίθη Ἰωάννης καὶ εἶπεν· οὐ δύναται ἄνθρωπος λαμβάνειν οὐδὲ ἓν ἐὰν μὴ ᾖ δεδομένον αὐτῷ ἐκ τοῦ οὐρανοῦ .	respondit Iohannes et dixit non potest homo accipere quicquam nisi fuerit ei datum de caelo	true	true	false	false	 
 john	jh03_30	b.JOH.3.30	δεῖ	oportet	ἐκεῖνον δεῖ αὐξάνειν , ἐμὲ δὲ ἐλαττοῦσθαι .	illum oportet crescere me autem minui	true	true	false	false	 
 john	jh04_04	b.JOH.4.4	δεῖ	oportet	Ἔδει δὲ αὐτὸν διέρχεσθαι διὰ τῆς Σαμαρείας .	oportebat autem eum transire per Samariam	true	true	false	false	 
 john	jh04_10	b.JOH.4.10	not preselected	forsitan	ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῇ· εἰ ᾔδεις τὴν δωρεὰν τοῦ θεοῦ καὶ τίς ἐστιν ὁ λέγων σοι· δός μοι πεῖν, σὺ ἂν ᾔτησας αὐτὸν καὶ ἔδωκεν ἄν σοι ὕδωρ ζῶν.	respondit Iesus et dixit ei si scires donum Dei et quis est qui dicit tibi da mihi bibere tu forsitan petisses ab eo et dedisset tibi aquam vivam	false	true	false	false	 
 john	jh04_20	b.JOH.4.20	δεῖ	oportet	οἱ πατέρες ἡμῶν ἐν τῷ ὄρει τούτῳ προσεκύνησαν· καὶ ὑμεῖς λέγετε ὅτι ἐν Ἱεροσολύμοις ἐστὶν ὁ τόπος ὅπου προσκυνεῖν δεῖ .	patres nostri in monte hoc adoraverunt et vos dicitis quia Hierosolymis est locus ubi adorare oportet	true	true	false	false	 
 john	jh04_24	b.JOH.4.24	δεῖ	oportet	πνεῦμα ὁ θεός, καὶ τοὺς προσκυνοῦντας αὐτὸν ἐν πνεύματι καὶ ἀληθείᾳ δεῖ προσκυνεῖν .	spiritus est Deus et eos qui adorant eum in spiritu et veritate oportet adorare	true	true	false	false	 
 john	jh04_32	b.JOH.4.32	ἔχω	habeo + inf.	ὁ δὲ εἶπεν αὐτοῖς· ἐγὼ βρῶσιν ἔχω φαγεῖν ἣν ὑμεῖς οὐκ οἴδατε.	ille autem dixit eis ego cibum habeo manducare quem vos nescitis	true	true	false	false	 
 john	jh04_34	b.JOH.4.34	θέλημα	voluntas	λέγει αὐτοῖς ὁ Ἰησοῦς· ἐμὸν βρῶμά ἐστιν ἵνα ποιήσω τὸ θέλημα τοῦ πέμψαντός με καὶ τελειώσω αὐτοῦ τὸ ἔργον.	dicit eis Iesus meus cibus est ut faciam voluntatem eius qui misit me ut perficiam opus eius	false	false	false	false	 
 john	jh05_07	b.JOH.5.6	θέλω	volo	τοῦτον ἰδὼν ὁ Ἰησοῦς κατακείμενον καὶ γνοὺς ὅτι πολὺν ἤδη χρόνον ἔχει, λέγει αὐτῷ· θέλεις ὑγιὴς γενέσθαι ;	hunc cum vidisset Iesus iacentem et cognovisset quia multum iam tempus habet dicit ei vis sanus fieri	true	true	false	false	 
 john	jh05_10	b.JOH.5.10	ἔξεστι	licet	ἔλεγον οὖν οἱ Ἰουδαῖοι τῷ τεθεραπευμένῳ· σάββατόν ἐστιν, καὶ οὐκ ἔξεστίν σοι ἆραι τὸν κράβαττόν σου .	dicebant Iudaei illi qui sanatus fuerat sabbatum est non licet tibi tollere grabattum tuum	true	true	false	false	 
 john	jh05_14	b.JOH.5.14	not preselected	nolo	μετὰ ταῦτα εὑρίσκει αὐτὸν ὁ Ἰησοῦς ἐν τῷ ἱερῷ καὶ εἶπεν αὐτῷ· ἴδε ὑγιὴς γέγονας, μηκέτι ἁμάρτανε, ἵνα μὴ χεῖρόν σοί τι γένηται.	postea invenit eum Iesus in templo et dixit illi ecce sanus factus es iam noli peccare ne deterius tibi aliquid contingat	false	false	false	false	 
 john	jh05_19	b.JOH.5.19	δύναμαι	possum	Ἀπεκρίνατο οὖν ὁ Ἰησοῦς καὶ ἔλεγεν αὐτοῖς· ἀμὴν ἀμὴν λέγω ὑμῖν, οὐ δύναται ὁ υἱὸς ποιεῖν ἀφ’ ἑαυτοῦ οὐδὲν ἐὰν μή τι βλέπῃ τὸν πατέρα ποιοῦντα · ἃ γὰρ ἂν ἐκεῖνος ποιῇ, ταῦτα καὶ ὁ υἱὸς ὁμοίως ποιεῖ.	amen amen dico vobis non potest Filius a se facere quicquam nisi quod viderit Patrem facientem quaecumque enim ille fecerit haec et Filius similiter facit	true	true	false	false	 
 john	jh05_21	b.JOH.5.21	θέλω	volo	ὥσπερ γὰρ ὁ πατὴρ ἐγείρει τοὺς νεκροὺς καὶ ζῳοποιεῖ, οὕτως καὶ ὁ υἱὸς οὓς θέλει { ζῳοποιεῖν } ζῳοποιεῖ .	sicut enim Pater suscitat mortuos et vivificat sic et Filius quos { vivificare } vult vivificat	true	true	false	false	 
 john	jh05_27	b.JOH.5.27	ἐξουσία	potestas	καὶ ἐξουσίαν ἔδωκεν αὐτῷ κρίσιν ποιεῖν , ὅτι υἱὸς ἀνθρώπου ἐστίν.	et potestatem dedit ei et iudicium facere quia Filius hominis est	true	true	false	false	 
 john	jh05_28	b.JOH.5.28	not preselected	nolo	μὴ θαυμάζετε τοῦτο, ὅτι ἔρχεται ὥρα ἐν ᾗ πάντες οἱ ἐν τοῖς μνημείοις ἀκούσουσιν τῆς φωνῆς αὐτοῦ	nolite mirari hoc quia venit hora in qua omnes qui in monumentis sunt audient vocem eius	false	false	false	false	 
 john	jh05_30	b.JOH.5.30	δύναμαι	possum	Οὐ δύναμαι ἐγὼ ποιεῖν ἀπ’ ἐμαυτοῦ οὐδέν · καθὼς ἀκούω κρίνω, καὶ ἡ κρίσις ἡ ἐμὴ δικαία ἐστίν, ὅτι οὐ ζητῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.	non possum ego a me ipso facere quicquam sicut audio iudico et iudicium meum iustum est quia non quaero voluntatem meam sed voluntatem eius qui misit me	true	true	false	false	 
 john	jh05_30b	b.JOH.5.30	θέλημα	voluntas	Οὐ δύναμαι ἐγὼ ποιεῖν ἀπ’ ἐμαυτοῦ οὐδέν · καθὼς ἀκούω κρίνω, καὶ ἡ κρίσις ἡ ἐμὴ δικαία ἐστίν, ὅτι οὐ ζητῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.	non possum ego a me ipso facere quicquam sicut audio iudico et iudicium meum iustum est quia non quaero voluntatem meam sed voluntatem eius qui misit me	false	false	false	false	 
 john	jh05_30c	b.JOH.5.30	θέλημα	voluntas	Οὐ δύναμαι ἐγὼ ποιεῖν ἀπ’ ἐμαυτοῦ οὐδέν · καθὼς ἀκούω κρίνω, καὶ ἡ κρίσις ἡ ἐμὴ δικαία ἐστίν, ὅτι οὐ ζητῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.	non possum ego a me ipso facere quicquam sicut audio iudico et iudicium meum iustum est quia non quaero voluntatem meam sed voluntatem eius qui misit me	false	false	false	false	 
 john	jh05_35	b.JOH.5.35	ἐθέλω	volo	ἐκεῖνος ἦν ὁ λύχνος ὁ καιόμενος καὶ φαίνων, ὑμεῖς δὲ ἠθελήσατε ἀγαλλιαθῆναι πρὸς ὥραν ἐν τῷ φωτὶ αὐτοῦ .	ille erat lucerna ardens et lucens vos autem voluistis exultare ad horam in luce eius	true	true	false	false	 
 john	jh05_40	b.JOH.5.40	θέλω	volo	καὶ οὐ θέλετε ἐλθεῖν πρός με ἵνα ζωὴν ἔχητε .	et non vultis venire ad me ut vitam habeatis	true	true	false	false	 
 john	jh05_44	b.JOH.5.44	δύναμαι	possum	πῶς δύνασθε ὑμεῖς πιστεῦσαι δόξαν παρὰ ἀλλήλων λαμβάνοντες, καὶ τὴν δόξαν τὴν παρὰ τοῦ μόνου θεοῦ οὐ ζητεῖτε;	quomodo potestis vos credere qui gloriam ab invicem accipitis et gloriam quae a solo est Deo non quaeritis	true	true	false	false	 
 john	jh05_45	b.JOH.5.45	not preselected	nolo	Μὴ δοκεῖτε ὅτι ἐγὼ κατηγορήσω ὑμῶν πρὸς τὸν πατέρα· ἔστιν ὁ κατηγορῶν ὑμῶν Μωϋσῆς, εἰς ὃν ὑμεῖς ἠλπίκατε.	nolite putare quia ego accusa turus sim vos apud Patrem est qui accuset vos Moses in quo vos speratis	false	false	false	false	 
 john	jh05_45b	b.JOH.5.45	not preselected	turus	Μὴ δοκεῖτε ὅτι ἐγὼ κατηγορήσω ὑμῶν πρὸς τὸν πατέρα· ἔστιν ὁ κατηγορῶν ὑμῶν Μωϋσῆς, εἰς ὃν ὑμεῖς ἠλπίκατε.	nolite putare quia ego accusa turus sim vos apud Patrem est qui accuset vos Moses in quo vos speratis	false	false	false	false	 
 john	jh05_46	b.JOH.5.46	not preselected	forsitan	εἰ γὰρ ἐπιστεύετε Μωϋσεῖ, ἐπιστεύετε ἂν ἐμοί· περὶ γὰρ ἐμοῦ ἐκεῖνος ἔγραψεν.	si enim crederetis Mosi crederetis forsitan et mihi de me enim ille scripsit	false	true	false	false	 
 john	jh06_06	b.JOH.6.6	μέλλω	turus	τοῦτο δὲ ἔλεγεν πειράζων αὐτόν· αὐτὸς γὰρ ᾔδει τί ἔμελλεν ποιεῖν.	hoc autem dicebat temptans eum ipse enim sciebat quid esset fac turus	false	false	false	false	 
 john	jh06_11	b.JOH.6.11	ἐθέλω	volo	ἔλαβεν οὖν τοὺς ἄρτους ὁ Ἰησοῦς καὶ εὐχαριστήσας διέδωκεν τοῖς ἀνακειμένοις ὁμοίως καὶ ἐκ τῶν ὀψαρίων ὅσον ἤθελον .	accepit ergo panes Iesus et cum gratias egisset distribuit discumbentibus similiter et ex piscibus quantum volebant	true	true	false	false	 
 john	jh06_14	b.JOH.6.14	not preselected	turus est	Οἱ οὖν ἄνθρωποι ἰδόντες ὃ ἐποίησεν σημεῖον ἔλεγον ὅτι οὗτός ἐστιν ἀληθῶς ὁ προφήτης ὁ ἐρχόμενος εἰς τὸν κόσμον.	illi ergo homines cum vidissent quod fecerat signum dicebant quia hic est vere propheta qui ven turus est in mundum	false	true	false	false	 
 john	jh06_15	b.JOH.6.15	μέλλω	turus	Ἰησοῦς οὖν γνοὺς ὅτι μέλλουσιν ἔρχεσθαι καὶ ἁρπάζειν αὐτὸν ἵνα ποιήσωσιν βασιλέα, ἀνεχώρησεν πάλιν εἰς τὸ ὄρος αὐτὸς μόνος.	Iesus ergo cum cognovisset quia ven turi essent ut raperent eum et facerent eum regem fugit iterum in montem ipse solus	false	false	false	false	 
 john	jh06_20	b.JOH.6.20	not preselected	nolo	ὁ δὲ λέγει αὐτοῖς· ἐγώ εἰμι· μὴ φοβεῖσθε.	ille autem dicit eis ego sum nolite timere	false	false	false	false	 
 john	jh06_21	b.JOH.6.21	ἐθέλω	volo	ἤθελον οὖν λαβεῖν αὐτὸν εἰς τὸ πλοῖον , καὶ εὐθέως ἐγένετο τὸ πλοῖον ἐπὶ τῆς γῆς εἰς ἣν ὑπῆγον.	voluerunt ergo accipere eum in navi et statim fuit navis ad terram quam ibant	true	true	false	false	 
 john	jh06_38	b.JOH.6.38	θέλημα	voluntas	ὅτι καταβέβηκα ἀπὸ τοῦ οὐρανοῦ οὐχ ἵνα ποιῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.	quia descendi de caelo non ut faciam voluntatem meam sed voluntatem eius qui misit me	false	false	false	false	 
 john	jh06_38b	b.JOH.6.38	θέλημα	voluntas	ὅτι καταβέβηκα ἀπὸ τοῦ οὐρανοῦ οὐχ ἵνα ποιῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.	quia descendi de caelo non ut faciam voluntatem meam sed voluntatem eius qui misit me	false	false	false	false	 
 john	jh06_39	b.JOH.6.39	θέλημα	voluntas	τοῦτο δέ ἐστιν τὸ θέλημα τοῦ πέμψαντός με, ἵνα πᾶν ὃ δέδωκέν μοι μὴ ἀπολέσω ἐξ αὐτοῦ , ἀλλ’ ἀναστήσω αὐτὸ ἐν τῇ ἐσχάτῃ ἡμέρᾳ .	haec est autem voluntas eius qui misit me Patris ut omne quod dedit mihi non perdam ex eo sed resuscitem illum novissimo die	true	true	false	false	 
 john	jh06_40	b.JOH.6.40	θέλημα	voluntas	τοῦτο γάρ ἐστιν τὸ θέλημα τοῦ πατρός μου, ἵνα πᾶς ὁ θεωρῶν τὸν υἱὸν καὶ πιστεύων εἰς αὐτὸν ἔχῃ ζωὴν αἰώνιον , καὶ ἀναστήσω αὐτὸν ἐγὼ ἐν τῇ ἐσχάτῃ ἡμέρᾳ.	haec est enim voluntas Patris mei qui misit me ut omnis qui videt Filium et credit in eum habeat vitam aeternam et resuscitabo ego eum in novissimo die	true	true	false	false	 
 john	jh06_43	b.JOH.6.43	not preselected	nolo	ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτοῖς· μὴ γογγύζετε μετ’ ἀλλήλων.	respondit ergo Iesus et dixit eis nolite murmurare in invicem	false	false	false	false	 
 john	jh06_44	b.JOH.6.44	δύναμαι	possum	οὐδεὶς δύναται ἐλθεῖν πρός με ἐὰν μὴ ὁ πατὴρ ὁ πέμψας με ἑλκύσῃ αὐτόν , κἀγὼ ἀναστήσω αὐτὸν ἐν τῇ ἐσχάτῃ ἡμέρᾳ.	nemo potest venire ad me nisi Pater qui misit me traxerit eum et ego resuscitabo eum novissimo die	true	true	false	false	 
 john	jh06_45	b.JOH.6.45	τος	bilis	ἔστιν γεγραμμένον ἐν τοῖς προφήταις· καὶ ἔσονται πάντες διδακ τοὶ θεοῦ· πᾶς ὁ ἀκούσας παρὰ τοῦ πατρὸς καὶ μαθὼν ἔρχεται πρὸς ἐμέ.	est scriptum in prophetis et erunt omnes doci biles Dei omnis qui audivit a Patre et didicit venit ad me	true	true	false	false	 
 john	jh06_52	b.JOH.6.52	δύναμαι	possum	Ἐμάχοντο οὖν πρὸς ἀλλήλους οἱ Ἰουδαῖοι λέγοντες· πῶς δύναται οὗτος ἡμῖν δοῦναι τὴν σάρκα αὐτοῦ φαγεῖν ;	litigabant ergo Iudaei ad invicem dicentes quomodo potest hic nobis carnem suam dare ad manducandum	true	true	false	false	 
 john	jh06_60	b.JOH.6.60	δύναμαι	possum	Πολλοὶ οὖν ἀκούσαντες ἐκ τῶν μαθητῶν αὐτοῦ εἶπαν· σκληρός ἐστιν ὁ λόγος οὗτος· τίς δύναται αὐτοῦ ἀκούειν ;	multi ergo audientes ex discipulis eius dixerunt durus est hic sermo quis potest eum audire	true	true	false	false	 
 john	jh06_64	b.JOH.6.64	not preselected	turus est	ἀλλ’ εἰσὶν ἐξ ὑμῶν τινες οἳ οὐ πιστεύουσιν. ᾔδει γὰρ ἐξ ἀρχῆς ὁ Ἰησοῦς τίνες εἰσὶν οἱ μὴ πιστεύοντες καὶ τίς ἐστιν ὁ παραδώσων αὐτόν.	sed sunt quidam ex vobis qui non credunt sciebat enim ab initio Iesus qui essent credentes et quis tradi turus esset eum	false	true	false	false	 
 john	jh06_66	b.JOH.6.65	δύναμαι	possum	καὶ ἔλεγεν· διὰ τοῦτο εἴρηκα ὑμῖν ὅτι οὐδεὶς δύναται ἐλθεῖν πρός με ἐὰν μὴ ᾖ δεδομένον αὐτῷ ἐκ τοῦ πατρός .	et dicebat propterea dixi vobis quia nemo potest venire ad me nisi fuerit ei datum a Patre meo	true	true	false	false	 
 john	jh06_67	b.JOH.6.67	θέλω	volo	εἶπεν οὖν ὁ Ἰησοῦς τοῖς δώδεκα· μὴ καὶ ὑμεῖς θέλετε ὑπάγειν ;	dixit ergo Iesus ad duodecim numquid et vos vultis abire	true	true	false	false	 
 john	jh06_71	b.JOH.6.71	μέλλω	turus est	ἔλεγεν δὲ τὸν Ἰούδαν Σίμωνος Ἰσκαριώτου· οὗτος γὰρ ἔμελλεν παραδιδόναι αὐτόν , εἷς ἐκ τῶν δώδεκα.	dicebat autem Iudam Simonis Scariotis hic enim erat tradi turus eum cum esset unus ex duodecim	true	true	false	false	 
 john	jh07_01	b.JOH.7.1	ἐθέλω	volo	Καὶ μετὰ ταῦτα περιεπάτει ὁ Ἰησοῦς ἐν τῇ Γαλιλαίᾳ· οὐ γὰρ ἤθελεν ἐν τῇ Ἰουδαίᾳ περιπατεῖν , ὅτι ἐζήτουν αὐτὸν οἱ Ἰουδαῖοι ἀποκτεῖναι .	post haec ambulabat Iesus in Galilaeam non enim volebat in Iudaeam ambulare quia quaerebant eum Iudaei interficere	true	true	false	false	 
 john	jh07_07	b.JOH.7.7	δύναμαι	possum	οὐ δύναται ὁ κόσμος μισεῖν ὑμᾶς , ἐμὲ δὲ μισεῖ, ὅτι ἐγὼ μαρτυρῶ περὶ αὐτοῦ ὅτι τὰ ἔργα αὐτοῦ πονηρά ἐστιν.	non potest mundus odisse vos me autem odit quia ego testimonium perhibeo de illo quia opera eius mala sunt	true	true	false	false	 
 john	jh07_17	b.JOH.7.17	θέλω	volo	ἐάν τις θέλῃ τὸ θέλημα αὐτοῦ ποιεῖν , γνώσεται περὶ τῆς διδαχῆς πότερον ἐκ τοῦ θεοῦ ἐστιν ἢ ἐγὼ ἀπ’ ἐμαυτοῦ λαλῶ.	si quis voluerit voluntatem eius facere cognoscet de doctrina utrum ex Deo sit an ego a me ipso loquar	true	true	false	false	 
 john	jh07_17b	b.JOH.7.17	θέλημα	voluntas	ἐάν τις θέλῃ τὸ θέλημα αὐτοῦ ποιεῖν , γνώσεται περὶ τῆς διδαχῆς πότερον ἐκ τοῦ θεοῦ ἐστιν ἢ ἐγὼ ἀπ’ ἐμαυτοῦ λαλῶ.	si quis voluerit voluntatem eius facere cognoscet de doctrina utrum ex Deo sit an ego a me ipso loquar	false	false	false	false	 
 john	jh07_24	b.JOH.7.24	not preselected	nolo	μὴ κρίνετε κατ’ ὄψιν, ἀλλὰ τὴν δικαίαν κρίσιν κρίνετε.	nolite iudicare secundum faciem sed iustum iudicium iudicate	false	false	false	false	 
 john	jh07_34	b.JOH.7.34	δύναμαι	possum	ζητήσετέ με καὶ οὐχ εὑρήσετέ με , καὶ ὅπου εἰμὶ ἐγὼ ὑμεῖς οὐ δύνασθε ἐλθεῖν .	quaeretis me et non invenietis et ubi sum ego vos non potestis venire	true	true	false	false	 
 john	jh07_35	b.JOH.7.35	μέλλω	turus	εἶπον οὖν οἱ Ἰουδαῖοι πρὸς ἑαυτούς· ποῦ οὗτος μέλλει πορεύεσθαι ὅτι ἡμεῖς οὐχ εὑρήσομεν αὐτόν; μὴ εἰς τὴν διασπορὰν τῶν Ἑλλήνων μέλλει πορεύεσθαι καὶ διδάσκειν τοὺς Ἕλληνας;	dixerunt ergo Iudaei ad se ipsos quo hic i turus est quia non inveniemus eum numquid in dispersionem gentium i turus est et docturus gentes	false	false	false	false	 
 john	jh07_35b	b.JOH.7.35	μέλλω	turus	εἶπον οὖν οἱ Ἰουδαῖοι πρὸς ἑαυτούς· ποῦ οὗτος μέλλει πορεύεσθαι ὅτι ἡμεῖς οὐχ εὑρήσομεν αὐτόν; μὴ εἰς τὴν διασπορὰν τῶν Ἑλλήνων μέλλει πορεύεσθαι καὶ διδάσκειν τοὺς Ἕλληνας;	dixerunt ergo Iudaei ad se ipsos quo hic i turus est quia non inveniemus eum numquid in dispersionem gentium i turus est et docturus gentes	false	false	false	false	 
 john	jh07_35c	b.JOH.7.35	not preselected	turus	εἶπον οὖν οἱ Ἰουδαῖοι πρὸς ἑαυτούς· ποῦ οὗτος μέλλει πορεύεσθαι ὅτι ἡμεῖς οὐχ εὑρήσομεν αὐτόν; μὴ εἰς τὴν διασπορὰν τῶν Ἑλλήνων μέλλει πορεύεσθαι καὶ διδάσκειν τοὺς Ἕλληνας;	dixerunt ergo Iudaei ad se ipsos quo hic i turus est quia non inveniemus eum numquid in dispersionem gentium i turus est et docturus gentes	false	false	false	false	 
